dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds006018	asrs14	string	Response to ASRS item 14 (difficulty unwinding and relaxing)	5	18			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs15	string	Response to ASRS item 15 (talking too much in social situations)	5	18			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs16	string	Response to ASRS item 16 (finishing sentences of people you are talking to)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs17	string	Response to ASRS item 17 (difficulty waiting your turn)	5	19			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs18	string	Response to ASRS item 18 (interrupt others when they are busy)	5	19			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs2	string	Response to ASRS item 2 (difficulty getting things in order)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs2_binary	Float64	asrs2 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	17			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs3	string	Response to ASRS item 3 (problems remembering appointments/obligations)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs3_binary	Float64	asrs3 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	17			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs4	string	Response to ASRS item 4 (avoid or delay getting started on tasks)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs4_binary	Float64	asrs4 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	17			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs5	string	Response to ASRS item 5 (fidget or squirm when sitting for a long time)	5	19			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs5_binary	Float64	asrs5 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	19			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs6	string	Response to ASRS item 6 (feel overly active and compelled to do things)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs6_binary	Float64	asrs6 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	17			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs7	string	Response to ASRS item 7 (make careless mistakes)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs8	string	Response to ASRS item 8 (difficulty keeping attention when doing boring work)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs9	string	Response to ASRS item 9 (difficulty concentrating on what people say)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	BadChannels_AuditoryOddball	string	Bad channels identified for the Passive Auditory Oddball task (using EEGLAB's pop_rejchan.m function with a threshold of 3 standard deviations and using only scalp channels)	18	79			False															
ds006018	BadChannels_Flanker	string	Bad channels identified for the Visual Search task (using EEGLAB's pop_rejchan.m function with a threshold of 3 standard deviations and using only scalp channels)	17	93			False															
ds006018	BadChannels_VisualOddball	string	Bad channels identified for the Visual Oddball task (using EEGLAB's pop_rejchan.m function with a threshold of 3 standard deviations and using only scalp channels)	15	88			False															
ds006018	BadChannels_VisualSearch	string	Bad channels identified for the Flanker task (using EEGLAB's pop_rejchan.m function with a threshold of 3 standard deviations and using only scalp channels)	13	101			False															
ds006018	CapSize	Int64	Participant cap size	7	0			True	48	60													
ds006018	EEG_Issues	string	Issues encountered during data collection and any additional notes pertaining to data collection (e.g., EEG channel observations)	38	83			False															
ds006018	EEG_Tasks	string	Tasks completed by the participant	5	0			True															
ds006018	FlankerEEG	Int64	Binary variable indicating whether participant has data (1) or does not have data (0) from the Flanker task	2	0			True	0	1													
ds006018	FlankerEEG_missingness_reason	string	Categorical variable indicating why the participant is missing data from the Flanker task (categories include: task not administered, experimenter error, participant-related issue)	1	73			True															
ds006018	fs1	string	Response to Food Security survey item 1 (food bought did not last and could not afford to get more)	3	2			True									missed		Alyssa	470921000124101			
ds006018	fs2	string	Response to Food Security survey item 2 (could not afford balanced meals)	3	2			True									missed		Alyssa	470921000124101			
ds006018	fs3	string	Response to Food Security survey item 3 (cut size of meals or skip meals because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds006018	fs4	string	Response to Food Security survey item 4 (if yes to fs3, how often)	3	97			True									missed		Alyssa	470921000124101			
ds006018	fs5	string	Response to Food Security survey item 5 (eat less than you felt you should because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds006018	fs6	string	Response to Food Security survey item 6 (hungry but did not eat because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds006018	Gender	string	Participant gender	3	0			True			nb:Sex												
ds006018	Handedness	string	Participant dominant hand	3	0			True															
ds006018	Highest_Adult_Edu_Grouped	string	Highest educational attainment level (grouped) completed out of all parents/legal guardians the participant reported living with when they were 10 years old (recoded as Less than a high school diploma; High school diploma; Some college, no degree; Associate degree; Bachelor's degree; Professional or graduate degree)	3	0			True															
ds006018	Highest_Edu_Grouped	string	Participant highest education level (grouped)	3	0			True															
ds006018	hnc1a	string	Response to Home and Neighborhood Characteristics scale item 1a (holes or cracks in walls or ceiling)	2	4			True									missed	should be an assessment - but there is certainly no term	Seb				
ds006018	hnc1b	string	Response to Home and Neighborhood Characteristics scale item 1b (holes in floor)	2	5			True									missed	should be an assessment - but there is certainly no term	Seb				
ds006018	hnc1c	string	Response to Home and Neighborhood Characteristics scale item 1c (problems with pests)	2	4			True									missed	should be an assessment - but there is certainly no term	Seb				
ds006018	hnc1d	string	Response to Home and Neighborhood Characteristics scale item 1d (plumbing that did not work)	2	5			True									missed	should be an assessment - but there is certainly no term	Seb				
ds006018	hnc2a	string	Response to Home and Neighborhood Characteristics scale item 2a (problematic street noise)	2	4			True									missed	should be an assessment - but there is certainly no term	Seb				
ds006018	hnc2b	string	Response to Home and Neighborhood Characteristics scale item 2b (problematic trash, litter, or garbage in streets)	2	6			True									missed	should be an assessment - but there is certainly no term	Seb				
